phase,score_m_Radiation_eoliennes,score_r_Radiation_eoliennes,score_m_Radiation_cables,score_r_Radiation_cables,score_m_Radiation_onduleurs,score_r_Radiation_onduleurs,score_m_Qualite_vie,score_r_Qualite_vie,etendue,duree,avg_score_m,avg_score_r,max_score_m,max_score_r,pct_score2_m,pct_score2_r,pct_score0_m,pct_score0_r,n_params,value_initial,impact_apprehende,sensitivity,intensity_class,importance,importance_relative
Realisation,1,0,1,0,2,1,0,0,Régionale,Moyenne,1.0,0.25,2,1,0.25,0.0,0.25,0.75,4,Moyenne,Moyenne,MOYENNE,FAIBLE,Moyenne,Moyenne
Exploitation,2,0,1,1,2,2,0,2,Régionale,Courte,1.25,1.25,2,2,0.5,0.5,0.25,0.25,4,Forte,Forte,FORTE,FORTE,Majeure,Moyenne
PRE_construction,2,0,0,0,1,2,2,0,Locale,Longue,1.25,0.5,2,2,0.5,0.25,0.25,0.75,4,Forte,Forte,FORTE,FAIBLE,Mineure,Mineure
PRE_construction,2,2,2,2,2,2,0,0,Nationale,Longue,1.5,1.5,2,2,0.75,0.75,0.25,0.25,4,Forte,Forte,FORTE,FORTE,Majeure,Majeure
Demantelement,2,1,0,0,2,2,0,0,Locale,Moyenne,1.0,0.75,2,2,0.5,0.25,0.5,0.5,4,Moyenne,Moyenne,MOYENNE,FAIBLE,Mineure,Mineure
Demantelement,0,0,2,2,0,1,2,1,Régionale,Courte,1.0,1.0,2,2,0.5,0.25,0.5,0.25,4,Moyenne,Moyenne,MOYENNE,FAIBLE,Moyenne,Mineure
Exploitation,0,2,0,0,0,2,0,0,Nationale,Courte,0.0,1.0,0,2,0.0,0.5,1.0,0.5,4,Faible,Faible,FAIBLE,FAIBLE,Mineure,Mineure
Demantelement,1,1,2,1,0,0,1,0,Locale,Courte,1.0,0.5,2,1,0.25,0.0,0.25,0.5,4,Moyenne,Moyenne,MOYENNE,FAIBLE,Mineure,Mineure
Exploitation,2,2,1,2,0,0,2,1,Régionale,Courte,1.25,1.25,2,2,0.5,0.5,0.25,0.25,4,Forte,Forte,FORTE,FORTE,Majeure,Moyenne
Exploitation,1,2,0,1,0,0,2,0,Nationale,Longue,0.75,0.75,2,2,0.25,0.25,0.5,0.5,4,Moyenne,Moyenne,MOYENNE,FAIBLE,Moyenne,Moyenne
